concessionaria,praca_de_pedagio,rodovia,uf,municipio,localizacao,velocidadeAtual,velocidadeLivre,confiabilidade,coordenadas_inicial,coordenadas_final,dataHora,isFeriado
RIOSP,Moreira César Sul,BR-116,SP,Pindamonhangaba,"-22.930000,-45.360000",99,99,1.0,"{'latitude': -22.996452744294345, 'longitude': -45.49257298593702}","{'latitude': -22.874347815531934, 'longitude': -45.25708576321068}",2024-10-21_09-48-00,0
RIOSP,Viúva Graça Norte,BR-116,RJ,Seropédica,"-22.716155,-43.716697",88,88,1.0,"{'latitude': -22.71734602861591, 'longitude': -43.70869880162846}","{'latitude': -22.675977024703148, 'longitude': -43.81699969615252}",2024-10-21_09-48-01,0
RIOSP,Viuvinha Norte,BR-116,RJ,Seropédica,"-22.715133,-43.730239",54,54,1.0,"{'latitude': -22.793708555526585, 'longitude': -43.649255685426596}","{'latitude': -22.711894491566337, 'longitude': -43.73520573222433}",2024-10-21_09-48-02,0
RODOVIA DO AÇO,BARRA DA PIRAI,BR-393,RJ,Barra do Piraí,"-22.485435,-43.919084",69,69,1.0,"{'latitude': -22.45690086229556, 'longitude': -43.84070774164067}","{'latitude': -22.48776100377309, 'longitude': -44.06332974882409}",2024-10-21_09-48-04,0
RODOVIA DO AÇO,PARAÍBA DO SUL,BR-393,RJ,Paraíba do Sul,"-22.208911,-43.382139",84,84,1.0,"{'latitude': -22.143514271798665, 'longitude': -43.28791385127417}","{'latitude': -22.238311566897604, 'longitude': -43.41811900572341}",2024-10-21_09-48-05,0
RODOVIA DO AÇO,SAPUCAIA,BR-393,RJ,Sapucaia,"-21.962326,-42.861675",69,69,1.0,"{'latitude': -21.87965730840576, 'longitude': -42.68173595487181}","{'latitude': -21.992157223549583, 'longitude': -42.909185938283144}",2024-10-21_09-48-07,0
TRANSBRASILIANA,P 01,BR-153,SP,Onda Verde,"-20.588611,-49.318055",85,85,1.0,"{'latitude': -20.664031877722188, 'longitude': -49.340867006532136}","{'latitude': -20.50062104407059, 'longitude': -49.31964670990587}",2024-10-21_09-48-08,0
TRANSBRASILIANA,P 02,BR-153,SP,José Bonifácio,"-20.997500,-49.628333",96,96,1.0,"{'latitude': -20.89930454583745, 'longitude': -49.44310208536757}","{'latitude': -21.008393996600116, 'longitude': -49.63524346929864}",2024-10-21_09-48-09,0
TRANSBRASILIANA,P 03,BR-153,SP,Lins,"-21.710555,-49.808611",91,91,1.0,"{'latitude': -21.66809543479662, 'longitude': -49.789850020266584}","{'latitude': -21.777377961142204, 'longitude': -49.89297156918164}",2024-10-21_09-48-11,0
TRANSBRASILIANA,P 04,BR-153,SP,Vera Cruz,"-22.336311,-49.898833",84,84,1.0,"{'latitude': -22.273117258892633, 'longitude': -49.92189114678695}","{'latitude': -22.472833191123268, 'longitude': -49.88790621745585}",2024-10-21_09-48-12,0
VIA 040,P1 - Cristalina,BR-40,GO,Cristalina,"-16.738900,-47.617540",91,91,1.0,"{'latitude': -16.611902071681026, 'longitude': -47.76108344731878}","{'latitude': -16.752341169658976, 'longitude': -47.60604371959485}",2024-10-21_09-48-14,0
VIA 040,P10 - Lafaiete,BR-40,MG,Conselheiro Lafaiete,"-20.767020,-43.806680",89,89,1.0,"{'latitude': -20.824830356794145, 'longitude': -43.809763096228664}","{'latitude': -20.66339222905257, 'longitude': -43.80309780682509}",2024-10-21_09-48-15,0
VIA 040,P11 - Barbacena,BR-40,MG,Barbacena,"-21.262710,-43.662240",88,88,1.0,"{'latitude': -21.249237624293087, 'longitude': -43.667784385305794}","{'latitude': -21.299130762377587, 'longitude': -43.62833043179202}",2024-10-21_09-48-16,0
VIA 040,P2 - Paracatu,BR-40,MG,Paracatu,"-17.098310,-47.026240",91,91,1.0,"{'latitude': -17.071326962010282, 'longitude': -47.04200064461725}","{'latitude': -17.210120499845644, 'longitude': -46.87547167457535}",2024-10-21_09-48-18,0
VIA 040,P3 - Lagoa Grande,BR-40,MG,Lagoa Grande,"-17.505980,-46.564650",101,101,1.0,"{'latitude': -17.629038624071175, 'longitude': -46.45873283652094}","{'latitude': -17.493918382784695, 'longitude': -46.59559523374671}",2024-10-21_09-48-19,0
VIA 040,P4 - João Pinheiro,BR-40,MG,João Pinheiro,"-17.945770,-46.034250",68,68,1.0,"{'latitude': -17.946070423654234, 'longitude': -46.031769417699365}","{'latitude': -17.94214497084575, 'longitude': -46.04315807717927}",2024-10-21_09-48-20,0
VIA 040,P5 - São Gonçalo do Abaeté,BR-40,MG,São Gonçalo do Abaeté,"-18.132650,-45.408170",92,92,1.0,"{'latitude': -18.119166722323868, 'longitude': -45.42994206432019}","{'latitude': -18.205698866863028, 'longitude': -45.23161282419031}",2024-10-21_09-48-22,0
VIA 040,P6 - Felixlândia,BR-40,MG,Felixlândia,"-18.565400,-45.021160",95,95,1.0,"{'latitude': -18.40271515482136, 'longitude': -45.095152758316885}","{'latitude': -18.585592155877983, 'longitude': -45.01116072410045}",2024-10-21_09-48-23,0
VIA 040,P7 - Curvelo,BR-40,MG,Curvelo,"-19.079300,-44.654950",96,96,1.0,"{'latitude': -19.136535319153936, 'longitude': -44.61718713506525}","{'latitude': -18.919135566625595, 'longitude': -44.68365093336524}",2024-10-21_09-48-24,0
